== optuna_overnight.log: Best lines (last 200) ==
[I 2026-07-31 22:08:35,217] Trial 3453 finished with value: -2.160912666641889 and parameters: {'entry_sma_mult': 0.9954999999999999, 'entry_rsi_min': 37, 'entry_rsi_max': 45, 'take_profit_pct': 0.008, 'hold_ticks': 290, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:35,370] Trial 3454 finished with value: -29.489224377164902 and parameters: {'entry_sma_mult': 0.995, 'entry_rsi_min': 36, 'entry_rsi_max': 46, 'take_profit_pct': 0.009000000000000001, 'hold_ticks': 290, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:35,505] Trial 3455 finished with value: -7.180849982811074 and parameters: {'entry_sma_mult': 0.996, 'entry_rsi_min': 37, 'entry_rsi_max': 45, 'take_profit_pct': 0.01, 'hold_ticks': 290, 'exit_sma_mult': 1.003, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:35,634] Trial 3456 finished with value: -7.193887210480245 and parameters: {'entry_sma_mult': 0.9954999999999999, 'entry_rsi_min': 38, 'entry_rsi_max': 45, 'take_profit_pct': 0.009000000000000001, 'hold_ticks': 300, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:35,793] Trial 3457 finished with value: -6.873524860496776 and parameters: {'entry_sma_mult': 0.9954999999999999, 'entry_rsi_min': 37, 'entry_rsi_max': 45, 'take_profit_pct': 0.01, 'hold_ticks': 300, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:35,933] Trial 3458 finished with value: -163.47444862318542 and parameters: {'entry_sma_mult': 0.995, 'entry_rsi_min': 36, 'entry_rsi_max': 46, 'take_profit_pct': 0.008, 'hold_ticks': 300, 'exit_sma_mult': 1.003, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:36,085] Trial 3459 finished with value: -27.613060686086257 and parameters: {'entry_sma_mult': 0.996, 'entry_rsi_min': 37, 'entry_rsi_max': 45, 'take_profit_pct': 0.009000000000000001, 'hold_ticks': 40, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:36,229] Trial 3460 finished with value: -37.17424144678686 and parameters: {'entry_sma_mult': 0.9954999999999999, 'entry_rsi_min': 38, 'entry_rsi_max': 45, 'take_profit_pct': 0.025, 'hold_ticks': 290, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:36,353] Trial 3461 finished with value: -2.5389013506082665 and parameters: {'entry_sma_mult': 0.996, 'entry_rsi_min': 37, 'entry_rsi_max': 45, 'take_profit_pct': 0.009000000000000001, 'hold_ticks': 280, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:36,477] Trial 3462 finished with value: -1.6120362742753969 and parameters: {'entry_sma_mult': 0.9954999999999999, 'entry_rsi_min': 36, 'entry_rsi_max': 45, 'take_profit_pct': 0.01, 'hold_ticks': 300, 'exit_sma_mult': 1.003, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
[I 2026-07-31 22:08:36,602] Trial 3463 finished with value: -4.426077059334675 and parameters: {'entry_sma_mult': 0.995, 'entry_rsi_min': 38, 'entry_rsi_max': 46, 'take_profit_pct': 0.009000000000000001, 'hold_ticks': 300, 'exit_sma_mult': 1.004, 'position_size': 0.2}. Best is trial 2179 with value: -0.5680222015935761.
